"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Area total","num Area rptg","Early Under Vote","Early Over Vote","Election Under Vote","Election Over Votes","over votes","under votes"
25,"CITY OF HARRISON For Member of Council at Large (Vote For 3)","Ryan Samuels","REP",1237,23.03,0,0,6,6,"83","0","1193","7","0","0"
26,"CITY OF HARRISON For Member of Council at Large (Vote For 3)","Jean L. Wilson","REP",1141,21.24,0,0,6,6,"83","0","1193","7","0","0"
27,"CITY OF HARRISON For Member of Council at Large (Vote For 3)","Anthony Egner","REP",965,17.96,0,0,6,6,"83","0","1193","7","0","0"
28,"CITY OF HARRISON For Member of Council at Large (Vote For 3)","Carol Wiwi","",957,17.81,0,0,6,6,"83","0","1193","7","0","0"
29,"CITY OF HARRISON For Member of Council at Large (Vote For 3)","Joe Combs","",626,11.65,0,0,6,6,"83","0","1193","7","0","0"
30,"CITY OF HARRISON For Member of Council at Large (Vote For 3)","Ken Hetzer","",446,8.30,0,0,6,6,"83","0","1193","7","0","0"
31,"CITY OF MT HEALTHY For Mayor (Vote For 1)","James C. Wolf","DEM",711,100.00,0,0,4,4,"14","0","220","0","0","0"
32,"CITY OF MT HEALTHY For Member of Council at Large (Vote For 3)","Cordel George, Jr.","DEM",546,44.10,0,0,4,4,"154","0","1443","0","0","0"
33,"CITY OF MT HEALTHY For Member of Council at Large (Vote For 3)","Judy Petersen","REP",379,30.61,0,0,4,4,"154","0","1443","0","0","0"
34,"CITY OF MT HEALTHY For Member of Council at Large (Vote For 3)","Joe T. Roetting","",313,25.28,0,0,4,4,"154","0","1443","0","0","0"
35,"CITY OF NORWOOD For Mayor (Vote For 1)","Victor Schneider","REP",1536,41.94,0,0,12,12,"21","0","57","1","0","0"
36,"CITY OF NORWOOD For Mayor (Vote For 1)","Timothy W. Molony","DEM",1183,32.30,0,0,12,12,"21","0","57","1","0","0"
37,"CITY OF NORWOOD For Mayor (Vote For 1)","William E. DeLuca","",943,25.75,0,0,12,12,"21","0","57","1","0","0"
38,"CITY OF NORWOOD For President of Council (Vote For 1)","Ken Miracle","REP",1991,55.46,0,0,12,12,"22","0","128","1","0","0"
39,"CITY OF NORWOOD For President of Council (Vote For 1)","Jason Provins","DEM",1599,44.54,0,0,12,12,"22","0","128","1","0","0"
40,"CITY OF NORWOOD For Auditor (Vote For 1)","Jim Stith","REP",1820,51.18,0,0,12,12,"28","0","155","2","0","0"
41,"CITY OF NORWOOD For Auditor (Vote For 1)","Melissa K. Rankin","DEM",1736,48.82,0,0,12,12,"28","0","155","2","0","0"
42,"CITY OF NORWOOD For Director of Law (Vote For 1)","Keith D. Moore","DEM",1854,52.14,0,0,12,12,"24","0","159","2","0","0"
43,"CITY OF NORWOOD For Director of Law (Vote For 1)","Maria Williams","REP",1702,47.86,0,0,12,12,"24","0","159","2","0","0"
44,"CITY OF NORWOOD For Member of Council at Large (Vote For 3)","James Bonsall","DEM",1776,19.12,0,0,12,12,"321","1","1605","2","0","0"
45,"CITY OF NORWOOD For Member of Council at Large (Vote For 3)","Michael D. Gabbard","",1775,19.11,0,0,12,12,"321","1","1605","2","0","0"
46,"CITY OF NORWOOD For Member of Council at Large (Vote For 3)","Matthew Geraci","REP",1558,16.77,0,0,12,12,"321","1","1605","2","0","0"
47,"CITY OF NORWOOD For Member of Council at Large (Vote For 3)","Liam Shanahan","DEM",1540,16.58,0,0,12,12,"321","1","1605","2","0","0"
48,"CITY OF NORWOOD For Member of Council at Large (Vote For 3)","J. R. Breadon","REP",1342,14.45,0,0,12,12,"321","1","1605","2","0","0"
49,"CITY OF NORWOOD For Member of Council at Large (Vote For 3)","Danielle E. Black","DEM",1297,13.96,0,0,12,12,"321","1","1605","2","0","0"
50,"CITY OF NORWOOD For Member of Council (1st Ward) (Vote For 1)","Chris Kelsch","REP",392,50.39,0,0,3,3,"3","0","26","0","0","0"
51,"CITY OF NORWOOD For Member of Council (1st Ward) (Vote For 1)","Leslie Stevenson","DEM",386,49.61,0,0,3,3,"3","0","26","0","0","0"
52,"CITY OF NORWOOD For Member of Council (2nd Ward) (Vote For 1)","Eric S. DiNardo","REP",462,47.00,0,0,3,3,"2","0","26","2","0","0"
53,"CITY OF NORWOOD For Member of Council (2nd Ward) (Vote For 1)","Marilyn Hanrahan","DEM",461,46.90,0,0,3,3,"2","0","26","2","0","0"
54,"CITY OF NORWOOD For Member of Council (2nd Ward) (Vote For 1)","Timothy Joseph Scheidler","",60,6.10,0,0,3,3,"2","0","26","2","0","0"
55,"CITY OF NORWOOD For Member of Council (3rd Ward) (Vote For 1)","Eric Thompson","DEM",529,54.03,0,0,3,3,"6","0","31","0","0","0"
56,"CITY OF NORWOOD For Member of Council (3rd Ward) (Vote For 1)","Ryan Hart","REP",450,45.97,0,0,3,3,"6","0","31","0","0","0"
57,"CITY OF NORWOOD For Member of Council (4th Ward) (Vote For 1)","John Breadon","REP",481,55.61,0,0,3,3,"7","0","33","0","0","0"
58,"CITY OF NORWOOD For Member of Council (4th Ward) (Vote For 1)","Amy Wolfinbarger","DEM",384,44.39,0,0,3,3,"7","0","33","0","0","0"
59,"CITY OF READING For Mayor (Vote For 1)","Robert Paul Bemmes","REP",1239,100.00,0,0,8,8,"89","0","509","0","0","0"
60,"CITY OF READING For President of Council (Vote For 1)","Christopher Nesbitt","REP",1148,100.00,0,0,8,8,"104","0","585","0","0","0"
61,"CITY OF READING For Auditor (Vote For 1)","Sabrina A. Smith","REP",1253,100.00,0,0,8,8,"92","0","492","0","0","0"
62,"CITY OF READING For Director of Law (Vote For 1)","David T. Stevenson","REP",1200,100.00,0,0,8,8,"87","0","550","0","0","0"
63,"CITY OF READING For Member of Council at Large (Vote For 3)","Katie Eadicicco","",1134,24.67,0,0,8,8,"115","0","791","3","0","0"
64,"CITY OF READING For Member of Council at Large (Vote For 3)","Randy Fischesser","REP",988,21.50,0,0,8,8,"115","0","791","3","0","0"
65,"CITY OF READING For Member of Council at Large (Vote For 3)","Donald H. Lindeman","REP",907,19.73,0,0,8,8,"115","0","791","3","0","0"
66,"CITY OF READING For Member of Council at Large (Vote For 3)","Robert J. Ashbrock","REP",834,18.15,0,0,8,8,"115","0","791","3","0","0"
67,"CITY OF READING For Member of Council at Large (Vote For 3)","James A. Shelton","",733,15.95,0,0,8,8,"115","0","791","3","0","0"
68,"CITY OF READING For Member of Council (1st Ward) (Vote For 1)","David A. Powell","REP",246,100.00,0,0,2,2,"36","0","115","0","0","0"
69,"CITY OF READING For Member of Council (2nd Ward) (Vote For 1)","Anthony J. Gertz","REP",205,100.00,0,0,2,2,"24","0","120","0","0","0"
70,"CITY OF READING For Member of Council (3rd Ward) (Vote For 1)","Tom Lynd","REP",351,100.00,0,0,2,2,"11","0","135","0","0","0"
71,"CITY OF READING For Member of Council (4th Ward) (Vote For 1)","Dennis E. Albrinck","REP",405,100.00,0,0,2,2,"23","0","166","0","0","0"
72,"CITY OF SHARONVILLE For Mayor (Vote For 1)","Kevin M. Hardman","REP",1655,100.00,0,0,7,7,"98","0","643","0","0","0"
73,"CITY OF SHARONVILLE For President of Council (Vote For 1)","Vickie Hoppe","REP",1635,100.00,0,0,7,7,"99","0","662","0","0","0"
74,"CITY OF SHARONVILLE For Auditor (Vote For 1)","Ed Cunningham","REP",1627,100.00,0,0,7,7,"102","0","667","0","0","0"
75,"CITY OF SHARONVILLE For Director of Law (Vote For 1)","Mark Piepmeier","REP",1646,100.00,0,0,7,7,"88","0","662","0","0","0"
76,"CITY OF SHARONVILLE For Member of Council at Large (Vote For 3)","Sue Knight","",1482,37.13,0,0,7,7,"362","0","2835","0","0","0"
77,"CITY OF SHARONVILLE For Member of Council at Large (Vote For 3)","Mike Wilson","REP",1309,32.80,0,0,7,7,"362","0","2835","0","0","0"
78,"CITY OF SHARONVILLE For Member of Council at Large (Vote For 3)","Charles Lippert","REP",1200,30.07,0,0,7,7,"362","0","2835","0","0","0"
79,"CITY OF SHARONVILLE For Member of Council (1st Ward) (Vote For 1)","Shayok Dutta","REP",233,100.00,0,0,2,2,"19","0","122","0","0","0"
80,"CITY OF SHARONVILLE For Member of Council (2nd Ward) (Vote For 1)","Dave Koch","REP",281,100.00,0,0,1,1,"18","0","127","0","0","0"
81,"CITY OF SHARONVILLE For Member of Council (3rd Ward) (Vote For 1)","Paul J. Schmidt","REP",573,100.00,0,0,2,2,"38","0","239","0","0","0"
82,"CITY OF SHARONVILLE For Member of Council (4th Ward) (Vote For 1)","Robert D. Tankersley","REP",502,100.00,0,0,2,2,"22","0","222","0","0","0"
83,"VILLAGE OF CLEVES For Mayor (Vote For 1)","Stephen Myers","",402,100.00,0,0,2,2,"14","0","167","0","0","0"
84,"VILLAGE OF CLEVES For Member of Council (Vote For 2)","Geri A. Meister","",321,40.02,0,0,2,2,"29","0","335","0","0","0"
85,"VILLAGE OF CLEVES For Member of Council (Vote For 2)","Tricia Brady","",274,34.16,0,0,2,2,"29","0","335","0","0","0"
86,"VILLAGE OF CLEVES For Member of Council (Vote For 2)","Jeffrey D. Demaree","",207,25.81,0,0,2,2,"29","0","335","0","0","0"
87,"VILLAGE OF ELMWOOD PLACE For Mayor (Vote For 1)","Paul Edward Furnish","",158,65.83,0,0,1,1,"1","0","5","0","0","0"
88,"VILLAGE OF ELMWOOD PLACE For Mayor (Vote For 1)","William Wilson","",82,34.17,0,0,1,1,"1","0","5","0","0","0"
89,"VILLAGE OF ELMWOOD PLACE For Clerk-Treasurer (Vote For 1)","Nancy S. Riley","",192,100.00,0,0,1,1,"1","0","53","0","0","0"
90,"VILLAGE OF ELMWOOD PLACE For Member of Council (Vote For 2)","Thelma Swanson (W)","",63,57.27,0,0,1,1,"30","0","352","0","0","0"
91,"VILLAGE OF ELMWOOD PLACE For Member of Council (Vote For 2)","B. Otto Weaver (W)","",47,42.73,0,0,1,1,"30","0","352","0","0","0"
92,"VILLAGE OF GREENHILLS For Member of Council (Vote For 3)","Jeffrey T. Halter","REP",302,34.01,0,0,3,3,"76","0","722","0","0","0"
93,"VILLAGE OF GREENHILLS For Member of Council (Vote For 3)","Natashia M. Metz","REP",293,33.00,0,0,3,3,"76","0","722","0","0","0"
94,"VILLAGE OF GREENHILLS For Member of Council (Vote For 3)","Maria C. Waltherr","REP",293,33.00,0,0,3,3,"76","0","722","0","0","0"
95,"VILLAGE OF LOCKLAND For Member of Council (Vote For 2)","Shawn Brock","",148,83.62,0,0,2,2,"43","0","242","0","0","0"
96,"VILLAGE OF LOCKLAND For Member of Council (Vote For 2)","Brian Pittman","",29,16.38,0,0,2,2,"43","0","242","0","0","0"
97,"VILLAGE OF SILVERTON For Member of Council at Large (Vote For 3)","Dottie Williams","DEM",617,38.32,0,0,3,3,"168","0","814","0","0","0"
98,"VILLAGE OF SILVERTON For Member of Council at Large (Vote For 3)","Franklin D. Wilson","DEM",528,32.80,0,0,3,3,"168","0","814","0","0","0"
99,"VILLAGE OF SILVERTON For Member of Council at Large (Vote For 3)","Mark J. Quarry","",465,28.88,0,0,3,3,"168","0","814","0","0","0"
100,"For Judge of Hamilton County Municipal Court  District 1 (Full term commencing 01-05-2020) (Vote For 1)","Dwane Mallory","",7456,100.00,0,0,54,54,"375","0","2046","0","0","0"
101,"For Judge of Hamilton County Municipal Court  District 1 (Unexpired term ending 01-02-2024) (Vote For 1)","Janaya Trotter Bratton","",6657,75.58,0,0,54,54,"180","0","875","14","0","0"
102,"For Judge of Hamilton County Municipal Court  District 1 (Unexpired term ending 01-02-2024) (Vote For 1)","Elisa Murphy","",2151,24.42,0,0,54,54,"180","0","875","14","0","0"
103,"For Judge of Hamilton County Municipal Court  District 2 (Full term commencing 01-05-2020) (Vote For 1)","Tyrone K. Yates","",13876,74.48,0,0,74,74,"187","2","1443","15","0","0"
104,"For Judge of Hamilton County Municipal Court  District 2 (Full term commencing 01-05-2020) (Vote For 1)","John K. Coleman","",4754,25.52,0,0,74,74,"187","2","1443","15","0","0"
105,"For Judge of Hamilton County Municipal Court  District 3 (Full term commencing 01-05-2020) (Vote For 1)","Ted Berry","",16462,100.00,0,0,83,83,"745","0","5763","0","0","0"
106,"For Judge of Hamilton County Municipal Court  District 4 (Full term commencing 01-05-2020) (Vote For 1)","Josh Berkowitz","",15976,56.76,0,0,87,87,"491","2","3691","8","0","0"
107,"For Judge of Hamilton County Municipal Court  District 4 (Full term commencing 01-05-2020) (Vote For 1)","John Kennedy","",12172,43.24,0,0,87,87,"491","2","3691","8","0","0"
108,"For Judge of Hamilton County Municipal Court  District 5 (Full term commencing 01-05-2020) (Vote For 1)","Heather S. Russell","",18308,63.31,0,0,107,107,"700","4","5415","37","0","0"
109,"For Judge of Hamilton County Municipal Court  District 5 (Full term commencing 01-05-2020) (Vote For 1)","Kari L. Bloom","",10611,36.69,0,0,107,107,"700","4","5415","37","0","0"
110,"For Judge of Hamilton County Municipal Court  District 6 (Full term commencing 01-05-2020) (Vote For 1)","Mike Peck","",19187,72.29,0,0,87,87,"304","1","3007","13","0","0"
111,"For Judge of Hamilton County Municipal Court  District 6 (Full term commencing 01-05-2020) (Vote For 1)","Arica Underwood","",7355,27.71,0,0,87,87,"304","1","3007","13","0","0"
112,"For Judge of Hamilton County Municipal Court  District 7 (Full term commencing 01-05-2020) (Vote For 1)","Gwen Bender","",12012,100.00,0,0,71,71,"770","0","5661","0","0","0"
113,"CITY OF BLUE ASH For Member of Council at Large B (Vote For 1)","Nikki Yasbeck-Schwieter","",1667,53.48,0,0,11,11,"67","2","594","3","0","0"
114,"CITY OF BLUE ASH For Member of Council at Large B (Vote For 1)","Lonnie L. Bowling, Jr.","",1450,46.52,0,0,11,11,"67","2","594","3","0","0"
115,"CITY OF BLUE ASH For Member of Council (1st Ward) (Vote For 1)","Katie E. Schneider","",290,55.66,0,0,2,2,"7","0","36","0","0","0"
116,"CITY OF BLUE ASH For Member of Council (1st Ward) (Vote For 1)","Linda E. Bauer","",231,44.34,0,0,2,2,"7","0","36","0","0","0"
117,"CITY OF BLUE ASH For Member of Council (3rd Ward) (Vote For 1)","Pramod S. Jhaveri","",526,50.77,0,0,2,2,"8","0","64","1","0","0"
118,"CITY OF BLUE ASH For Member of Council (3rd Ward) (Vote For 1)","Joe Hoelker","",510,49.23,0,0,2,2,"8","0","64","1","0","0"
119,"CITY OF BLUE ASH For Member of Council (5th Ward) (Vote For 1)","Marc Sirkin","",539,100.00,0,0,2,2,"28","0","164","0","0","0"
120,"CITY OF FOREST PARK For Member of Council at Large (Vote For 3)","Denise Holt","",1799,29.77,0,0,13,13,"177","0","1432","2","0","0"
121,"CITY OF FOREST PARK For Member of Council at Large (Vote For 3)","Aharon Brown","",1639,27.12,0,0,13,13,"177","0","1432","2","0","0"
122,"CITY OF FOREST PARK For Member of Council at Large (Vote For 3)","Reggie Sylvester","",1574,26.04,0,0,13,13,"177","0","1432","2","0","0"
123,"CITY OF FOREST PARK For Member of Council at Large (Vote For 3)","Christina Alycia Ingle","",589,9.75,0,0,13,13,"177","0","1432","2","0","0"
124,"CITY OF FOREST PARK For Member of Council at Large (Vote For 3)","Matthew J. Robinson","",402,6.65,0,0,13,13,"177","0","1432","2","0","0"
125,"CITY OF FOREST PARK For Member of Council at Large (Vote For 3)","Regina A. Collins","",41,0.68,0,0,13,13,"177","0","1432","2","0","0"
126,"CITY OF INDIAN HILL For Member of Council at Large (Vote For 7)","Stephen H. Krehbiel","",951,14.32,0,0,6,6,"376","1","2643","4","0","0"
127,"CITY OF INDIAN HILL For Member of Council at Large (Vote For 7)","Melissa Skidmore Cowan","",922,13.88,0,0,6,6,"376","1","2643","4","0","0"
128,"CITY OF INDIAN HILL For Member of Council at Large (Vote For 7)","Monique A. Sewell","",919,13.84,0,0,6,6,"376","1","2643","4","0","0"
129,"CITY OF INDIAN HILL For Member of Council at Large (Vote For 7)","Elizabeth Cassin Isphording","",908,13.67,0,0,6,6,"376","1","2643","4","0","0"
130,"CITY OF INDIAN HILL For Member of Council at Large (Vote For 7)","Donald C. McGraw","",863,13.00,0,0,6,6,"376","1","2643","4","0","0"
131,"CITY OF INDIAN HILL For Member of Council at Large (Vote For 7)","Shayne Manning","",803,12.09,0,0,6,6,"376","1","2643","4","0","0"
132,"CITY OF INDIAN HILL For Member of Council at Large (Vote For 7)","Richard J. Hidy","",798,12.02,0,0,6,6,"376","1","2643","4","0","0"
133,"CITY OF INDIAN HILL For Member of Council at Large (Vote For 7)","David Francis Turner","",477,7.18,0,0,6,6,"376","1","2643","4","0","0"
134,"CITY OF LOVELAND For Member of Council at Large (Vote For 3)","Kathy Bailey","",1886,26.60,0,0,7,7,"243","2","2697","0","0","0"
135,"CITY OF LOVELAND For Member of Council at Large (Vote For 3)","Andy Bateman","",1531,21.60,0,0,7,7,"243","2","2697","0","0","0"
136,"CITY OF LOVELAND For Member of Council at Large (Vote For 3)","Kent G. Blair","",1321,18.63,0,0,7,7,"243","2","2697","0","0","0"
137,"CITY OF LOVELAND For Member of Council at Large (Vote For 3)","Angela L. Settell","",950,13.40,0,0,7,7,"243","2","2697","0","0","0"
138,"CITY OF LOVELAND For Member of Council at Large (Vote For 3)","Pat Ahr","",884,12.47,0,0,7,7,"243","2","2697","0","0","0"
139,"CITY OF LOVELAND For Member of Council at Large (Vote For 3)","Cory O'Donnell","",517,7.29,0,0,7,7,"243","2","2697","0","0","0"
140,"CITY OF MADEIRA For Member of Council at Large (Vote For 3)","Tom Henning","",1462,27.03,0,0,8,8,"239","0","1576","0","0","0"
141,"CITY OF MADEIRA For Member of Council at Large (Vote For 3)","Scott Gehring","",1457,26.94,0,0,8,8,"239","0","1576","0","0","0"
142,"CITY OF MADEIRA For Member of Council at Large (Vote For 3)","Chris Hilberg","",1451,26.83,0,0,8,8,"239","0","1576","0","0","0"
143,"CITY OF MADEIRA For Member of Council at Large (Vote For 3)","Barbara Holwadel","",1039,19.21,0,0,8,8,"239","0","1576","0","0","0"
144,"CITY OF MILFORD For Member of Council at Large (Vote For 4)","Sandra K. Russell","",4,36.36,0,0,3,3,"0","0","9","0","0","0"
145,"CITY OF MILFORD For Member of Council at Large (Vote For 4)","Benjamin E. Redman","",3,27.27,0,0,3,3,"0","0","9","0","0","0"
146,"CITY OF MILFORD For Member of Council at Large (Vote For 4)","Ted Haskins","",2,18.18,0,0,3,3,"0","0","9","0","0","0"
147,"CITY OF MILFORD For Member of Council at Large (Vote For 4)","Kyle Mitchell","",2,18.18,0,0,3,3,"0","0","9","0","0","0"
148,"CITY OF MONTGOMERY For Member of Council at Large (Vote For 3)","Craig Margolis","",2281,26.95,0,0,9,9,"542","1","3606","0","0","0"
149,"CITY OF MONTGOMERY For Member of Council at Large (Vote For 3)","Gerri Harbison","",2202,26.02,0,0,9,9,"542","1","3606","0","0","0"
150,"CITY OF MONTGOMERY For Member of Council at Large (Vote For 3)","Mike Cappel","",2099,24.80,0,0,9,9,"542","1","3606","0","0","0"
151,"CITY OF MONTGOMERY For Member of Council at Large (Vote For 3)","Steven J. Silverman","",1155,13.65,0,0,9,9,"542","1","3606","0","0","0"
152,"CITY OF MONTGOMERY For Member of Council at Large (Vote For 3)","Jeremiah R. Seebohm","",727,8.59,0,0,9,9,"542","1","3606","0","0","0"
153,"CITY OF NORTH COLLEGE HILL For Mayor (Vote For 1)","Tracie Nichols","",823,52.49,0,0,7,7,"19","0","36","1","0","0"
154,"CITY OF NORTH COLLEGE HILL For Mayor (Vote For 1)","Mary Jo Anna Zorb","",745,47.51,0,0,7,7,"19","0","36","1","0","0"
155,"CITY OF NORTH COLLEGE HILL For Member of Council at Large (Vote For 3)","Elizabeth Joy Hartman","",901,39.36,0,0,7,7,"287","0","2296","0","0","0"
156,"CITY OF NORTH COLLEGE HILL For Member of Council at Large (Vote For 3)","Christian Thaddaeus Hedger","",727,31.76,0,0,7,7,"287","0","2296","0","0","0"
157,"CITY OF NORTH COLLEGE HILL For Member of Council at Large (Vote For 3)","Matt Miller-Novak","",661,28.88,0,0,7,7,"287","0","2296","0","0","0"
158,"CITY OF SPRINGDALE For Mayor (Vote For 1)","Doyle H. Webster","",995,43.58,0,0,8,8,"12","0","65","1","0","0"
159,"CITY OF SPRINGDALE For Mayor (Vote For 1)","Daniel M. Shroyer","",921,40.34,0,0,8,8,"12","0","65","1","0","0"
160,"CITY OF SPRINGDALE For Mayor (Vote For 1)","William A. Cassedy, Jr.","",367,16.08,0,0,8,8,"12","0","65","1","0","0"
161,"CITY OF SPRINGDALE For Clerk-Finance Director (Vote For 1)","Kathy McNear","",1659,100.00,0,0,8,8,"89","0","613","0","0","0"
162,"CITY OF SPRINGDALE For Member of Council at Large (Vote For 3)","Lawrence C. Hawkins III","",1044,19.69,0,0,8,8,"236","0","1535","3","0","0"
163,"CITY OF SPRINGDALE For Member of Council at Large (Vote For 3)","Carolyn Ghantous","",934,17.61,0,0,8,8,"236","0","1535","3","0","0"
164,"CITY OF SPRINGDALE For Member of Council at Large (Vote For 3)","Joseph Ramirez","",904,17.05,0,0,8,8,"236","0","1535","3","0","0"
165,"CITY OF SPRINGDALE For Member of Council at Large (Vote For 3)","Victoria Morgan","",842,15.88,0,0,8,8,"236","0","1535","3","0","0"
166,"CITY OF SPRINGDALE For Member of Council at Large (Vote For 3)","Steve Galster","",838,15.80,0,0,8,8,"236","0","1535","3","0","0"
167,"CITY OF SPRINGDALE For Member of Council at Large (Vote For 3)","Bill Turner","",448,8.45,0,0,8,8,"236","0","1535","3","0","0"
168,"CITY OF SPRINGDALE For Member of Council at Large (Vote For 3)","Mick G. Higgins","",293,5.53,0,0,8,8,"236","0","1535","3","0","0"
169,"CITY OF WYOMING For Member of Council at Large (Vote For 7)","Thaddeus Hoffmeister","",1717,13.65,0,0,5,5,"608","0","5563","2","0","0"
170,"CITY OF WYOMING For Member of Council at Large (Vote For 7)","Sarah Stankorb Taylor","",1640,13.04,0,0,5,5,"608","0","5563","2","0","0"
171,"CITY OF WYOMING For Member of Council at Large (Vote For 7)","Albert Delgado","",1609,12.80,0,0,5,5,"608","0","5563","2","0","0"
172,"CITY OF WYOMING For Member of Council at Large (Vote For 7)","Nancy J. Averett","",1505,11.97,0,0,5,5,"608","0","5563","2","0","0"
173,"CITY OF WYOMING For Member of Council at Large (Vote For 7)","James T. O'Reilly","",1323,10.52,0,0,5,5,"608","0","5563","2","0","0"
174,"CITY OF WYOMING For Member of Council at Large (Vote For 7)","Zachary Green","",1258,10.00,0,0,5,5,"608","0","5563","2","0","0"
175,"CITY OF WYOMING For Member of Council at Large (Vote For 7)","Jeffrey H. LeRoy","",1256,9.99,0,0,5,5,"608","0","5563","2","0","0"
176,"CITY OF WYOMING For Member of Council at Large (Vote For 7)","Barry S. Porter","",1155,9.18,0,0,5,5,"608","0","5563","2","0","0"
177,"CITY OF WYOMING For Member of Council at Large (Vote For 7)","Jenni McCauley","",1112,8.84,0,0,5,5,"608","0","5563","2","0","0"
178,"VILLAGE OF ADDYSTON For Mayor (Vote For 1)","Lisa Mear","",102,100.00,0,0,1,1,"3","0","28","0","0","0"
179,"VILLAGE OF ADDYSTON For Clerk (Vote For 1)","Margaret A. Dozier","",98,100.00,0,0,1,1,"4","0","31","0","0","0"
180,"VILLAGE OF ADDYSTON For Member of Council (Vote For 2)","Daniel L. Pillow","",65,28.51,0,0,1,1,"1","0","37","0","0","0"
181,"VILLAGE OF ADDYSTON For Member of Council (Vote For 2)","Lisa R. Stafford","",63,27.63,0,0,1,1,"1","0","37","0","0","0"
182,"VILLAGE OF ADDYSTON For Member of Council (Vote For 2)","Pamela S. Jackson","",55,24.12,0,0,1,1,"1","0","37","0","0","0"
183,"VILLAGE OF ADDYSTON For Member of Council (Vote For 2)","James Jason Fry","",45,19.74,0,0,1,1,"1","0","37","0","0","0"
184,"VILLAGE OF ADDYSTON For Member of Board of Trustees of Public Affairs (Vote For 1)","Karen Jackson","",87,100.00,0,0,1,1,"3","0","43","0","0","0"
185,"VILLAGE OF AMBERLEY For Member of Council (District A) (Vote For 1)","Edward Hattenbach","",686,56.98,0,0,4,4,"19","0","191","0","0","0"
