contest,candidate,vote_type,precinct,votes
CITY OF CHEVIOT For Member of Council (1st Ward),Daniel Morgan,Election,2911 CHEV 1-A,218
CITY OF CHEVIOT For Member of Council (1st Ward),Daniel Morgan,Early,2911 CHEV 1-A,26
CITY OF CHEVIOT For Member of Council (2nd Ward),Charles C. Watt,Election,2921 CHEV 2-A,152
CITY OF CHEVIOT For Member of Council (2nd Ward),Charles C. Watt,Early,2921 CHEV 2-A,14
CITY OF CHEVIOT For Member of Council (2nd Ward),Alan R. Walke,Election,2921 CHEV 2-A,123
CITY OF CHEVIOT For Member of Council (2nd Ward),Alan R. Walke,Early,2921 CHEV 2-A,12
CITY OF CHEVIOT For Member of Council (3rd Ward),Eileen M. Borgmann,Election,2931 CHEV 3-A,190
CITY OF CHEVIOT For Member of Council (3rd Ward),Eileen M. Borgmann,Early,2931 CHEV 3-A,22
CITY OF CHEVIOT For Member of Council (3rd Ward),Brian P. Smyth,Election,2931 CHEV 3-A,97
CITY OF CHEVIOT For Member of Council (3rd Ward),Brian P. Smyth,Early,2931 CHEV 3-A,4
CITY OF CHEVIOT For Member of Council (4th Ward),Hugo R. Petermann,Election,2941 CHEV 4-A,224
CITY OF CHEVIOT For Member of Council (4th Ward),Hugo R. Petermann,Early,2941 CHEV 4-A,48
CITY OF HARRISON For Member of Council at Large,Tanner Dole,Election,3401 HARR A,173
CITY OF HARRISON For Member of Council at Large,Tanner Dole,Election,3402 HARR B,114
CITY OF HARRISON For Member of Council at Large,Tanner Dole,Election,3403 HARR C,181
CITY OF HARRISON For Member of Council at Large,Tanner Dole,Election,3404 HARR D,140
CITY OF HARRISON For Member of Council at Large,Tanner Dole,Election,3405 HARR E,204
CITY OF HARRISON For Member of Council at Large,Tanner Dole,Election,3406 HARR F,173
CITY OF HARRISON For Member of Council at Large,Tanner Dole,Election,3407 HARR G,131
CITY OF HARRISON For Member of Council at Large,Tanner Dole,Early,3401 HARR A,12
CITY OF HARRISON For Member of Council at Large,Tanner Dole,Early,3402 HARR B,5
CITY OF HARRISON For Member of Council at Large,Tanner Dole,Early,3403 HARR C,9
CITY OF HARRISON For Member of Council at Large,Tanner Dole,Early,3404 HARR D,14
CITY OF HARRISON For Member of Council at Large,Tanner Dole,Early,3405 HARR E,14
CITY OF HARRISON For Member of Council at Large,Tanner Dole,Early,3406 HARR F,19
CITY OF HARRISON For Member of Council at Large,Tanner Dole,Early,3407 HARR G,3
CITY OF HARRISON For Member of Council at Large,Patty VanCleve,Election,3401 HARR A,125
CITY OF HARRISON For Member of Council at Large,Patty VanCleve,Election,3402 HARR B,97
CITY OF HARRISON For Member of Council at Large,Patty VanCleve,Election,3403 HARR C,147
CITY OF HARRISON For Member of Council at Large,Patty VanCleve,Election,3404 HARR D,138
CITY OF HARRISON For Member of Council at Large,Patty VanCleve,Election,3405 HARR E,170
CITY OF HARRISON For Member of Council at Large,Patty VanCleve,Election,3406 HARR F,198
CITY OF HARRISON For Member of Council at Large,Patty VanCleve,Election,3407 HARR G,139
CITY OF HARRISON For Member of Council at Large,Patty VanCleve,Early,3401 HARR A,11
CITY OF HARRISON For Member of Council at Large,Patty VanCleve,Early,3402 HARR B,7
CITY OF HARRISON For Member of Council at Large,Patty VanCleve,Early,3403 HARR C,11
CITY OF HARRISON For Member of Council at Large,Patty VanCleve,Early,3404 HARR D,13
CITY OF HARRISON For Member of Council at Large,Patty VanCleve,Early,3405 HARR E,12
CITY OF HARRISON For Member of Council at Large,Patty VanCleve,Early,3406 HARR F,16
CITY OF HARRISON For Member of Council at Large,Patty VanCleve,Early,3407 HARR G,4
CITY OF HARRISON For Member of Council at Large,Edward Whitt,Election,3401 HARR A,146
CITY OF HARRISON For Member of Council at Large,Edward Whitt,Election,3402 HARR B,110
CITY OF HARRISON For Member of Council at Large,Edward Whitt,Election,3403 HARR C,163
CITY OF HARRISON For Member of Council at Large,Edward Whitt,Election,3404 HARR D,134
CITY OF HARRISON For Member of Council at Large,Edward Whitt,Election,3405 HARR E,184
CITY OF HARRISON For Member of Council at Large,Edward Whitt,Election,3406 HARR F,153
CITY OF HARRISON For Member of Council at Large,Edward Whitt,Election,3407 HARR G,115
CITY OF HARRISON For Member of Council at Large,Edward Whitt,Early,3401 HARR A,9
CITY OF HARRISON For Member of Council at Large,Edward Whitt,Early,3402 HARR B,6
CITY OF HARRISON For Member of Council at Large,Edward Whitt,Early,3403 HARR C,11
CITY OF HARRISON For Member of Council at Large,Edward Whitt,Early,3404 HARR D,15
CITY OF HARRISON For Member of Council at Large,Edward Whitt,Early,3405 HARR E,19
CITY OF HARRISON For Member of Council at Large,Edward Whitt,Early,3406 HARR F,13
CITY OF HARRISON For Member of Council at Large,Edward Whitt,Early,3407 HARR G,4
CITY OF HARRISON For Member of Council at Large,William A. Neyer,Election,3401 HARR A,137
CITY OF HARRISON For Member of Council at Large,William A. Neyer,Election,3402 HARR B,121
CITY OF HARRISON For Member of Council at Large,William A. Neyer,Election,3403 HARR C,133
CITY OF HARRISON For Member of Council at Large,William A. Neyer,Election,3404 HARR D,136
CITY OF HARRISON For Member of Council at Large,William A. Neyer,Election,3405 HARR E,153
CITY OF HARRISON For Member of Council at Large,William A. Neyer,Election,3406 HARR F,136
CITY OF HARRISON For Member of Council at Large,William A. Neyer,Election,3407 HARR G,112
CITY OF HARRISON For Member of Council at Large,William A. Neyer,Early,3401 HARR A,14
CITY OF HARRISON For Member of Council at Large,William A. Neyer,Early,3402 HARR B,7
CITY OF HARRISON For Member of Council at Large,William A. Neyer,Early,3403 HARR C,15
CITY OF HARRISON For Member of Council at Large,William A. Neyer,Early,3404 HARR D,17
CITY OF HARRISON For Member of Council at Large,William A. Neyer,Early,3405 HARR E,10
CITY OF HARRISON For Member of Council at Large,William A. Neyer,Early,3406 HARR F,16
CITY OF HARRISON For Member of Council at Large,William A. Neyer,Early,3407 HARR G,5
CITY OF HARRISON For Member of Council at Large,Kathie J. Ragar-Lawyer,Election,3401 HARR A,127
CITY OF HARRISON For Member of Council at Large,Kathie J. Ragar-Lawyer,Election,3402 HARR B,87
CITY OF HARRISON For Member of Council at Large,Kathie J. Ragar-Lawyer,Election,3403 HARR C,143
CITY OF HARRISON For Member of Council at Large,Kathie J. Ragar-Lawyer,Election,3404 HARR D,132
CITY OF HARRISON For Member of Council at Large,Kathie J. Ragar-Lawyer,Election,3405 HARR E,161
CITY OF HARRISON For Member of Council at Large,Kathie J. Ragar-Lawyer,Election,3406 HARR F,125
CITY OF HARRISON For Member of Council at Large,Kathie J. Ragar-Lawyer,Election,3407 HARR G,104
CITY OF HARRISON For Member of Council at Large,Kathie J. Ragar-Lawyer,Early,3401 HARR A,5
CITY OF HARRISON For Member of Council at Large,Kathie J. Ragar-Lawyer,Early,3402 HARR B,6
CITY OF HARRISON For Member of Council at Large,Kathie J. Ragar-Lawyer,Early,3403 HARR C,12
CITY OF HARRISON For Member of Council at Large,Kathie J. Ragar-Lawyer,Early,3404 HARR D,9
CITY OF HARRISON For Member of Council at Large,Kathie J. Ragar-Lawyer,Early,3405 HARR E,21
CITY OF HARRISON For Member of Council at Large,Kathie J. Ragar-Lawyer,Early,3406 HARR F,13
CITY OF HARRISON For Member of Council at Large,Kathie J. Ragar-Lawyer,Early,3407 HARR G,7
CITY OF HARRISON For Member of Council at Large,Brad William Noes,Election,3401 HARR A,149
CITY OF HARRISON For Member of Council at Large,Brad William Noes,Election,3402 HARR B,95
CITY OF HARRISON For Member of Council at Large,Brad William Noes,Election,3403 HARR C,130
CITY OF HARRISON For Member of Council at Large,Brad William Noes,Election,3404 HARR D,126
CITY OF HARRISON For Member of Council at Large,Brad William Noes,Election,3405 HARR E,167
CITY OF HARRISON For Member of Council at Large,Brad William Noes,Election,3406 HARR F,98
CITY OF HARRISON For Member of Council at Large,Brad William Noes,Election,3407 HARR G,95
CITY OF HARRISON For Member of Council at Large,Brad William Noes,Early,3401 HARR A,7
CITY OF HARRISON For Member of Council at Large,Brad William Noes,Early,3402 HARR B,5
CITY OF HARRISON For Member of Council at Large,Brad William Noes,Early,3403 HARR C,8
CITY OF HARRISON For Member of Council at Large,Brad William Noes,Early,3404 HARR D,11
CITY OF HARRISON For Member of Council at Large,Brad William Noes,Early,3405 HARR E,18
CITY OF HARRISON For Member of Council at Large,Brad William Noes,Early,3406 HARR F,11
CITY OF HARRISON For Member of Council at Large,Brad William Noes,Early,3407 HARR G,7
CITY OF MT HEALTHY For President of Council,Sara E. Danks (W),Election,4111 MTHY 1-A,60
CITY OF MT HEALTHY For President of Council,Sara E. Danks (W),Election,4121 MTHY 2-A,83
CITY OF MT HEALTHY For President of Council,Sara E. Danks (W),Election,4131 MTHY 3-A,59
CITY OF MT HEALTHY For President of Council,Sara E. Danks (W),Election,4141 MTHY 4-A,54
CITY OF MT HEALTHY For President of Council,Sara E. Danks (W),Early,4111 MTHY 1-A,9
CITY OF MT HEALTHY For President of Council,Sara E. Danks (W),Early,4121 MTHY 2-A,0
CITY OF MT HEALTHY For President of Council,Sara E. Danks (W),Early,4131 MTHY 3-A,6
CITY OF MT HEALTHY For President of Council,Sara E. Danks (W),Early,4141 MTHY 4-A,7
CITY OF MT HEALTHY For President of Council,Mara Harperink (W),Election,4111 MTHY 1-A,42
CITY OF MT HEALTHY For President of Council,Mara Harperink (W),Election,4121 MTHY 2-A,33
CITY OF MT HEALTHY For President of Council,Mara Harperink (W),Election,4131 MTHY 3-A,49
CITY OF MT HEALTHY For President of Council,Mara Harperink (W),Election,4141 MTHY 4-A,18
CITY OF MT HEALTHY For President of Council,Mara Harperink (W),Early,4111 MTHY 1-A,2
CITY OF MT HEALTHY For President of Council,Mara Harperink (W),Early,4121 MTHY 2-A,1
CITY OF MT HEALTHY For President of Council,Mara Harperink (W),Early,4131 MTHY 3-A,3
CITY OF MT HEALTHY For President of Council,Mara Harperink (W),Early,4141 MTHY 4-A,0
CITY OF MT HEALTHY For Member of Council at Large,Kisha L. Dosa,Election,4111 MTHY 1-A,143
CITY OF MT HEALTHY For Member of Council at Large,Kisha L. Dosa,Election,4121 MTHY 2-A,151
CITY OF MT HEALTHY For Member of Council at Large,Kisha L. Dosa,Election,4131 MTHY 3-A,140
CITY OF MT HEALTHY For Member of Council at Large,Kisha L. Dosa,Election,4141 MTHY 4-A,114
CITY OF MT HEALTHY For Member of Council at Large,Kisha L. Dosa,Early,4111 MTHY 1-A,42
CITY OF MT HEALTHY For Member of Council at Large,Kisha L. Dosa,Early,4121 MTHY 2-A,9
CITY OF MT HEALTHY For Member of Council at Large,Kisha L. Dosa,Early,4131 MTHY 3-A,18
CITY OF MT HEALTHY For Member of Council at Large,Kisha L. Dosa,Early,4141 MTHY 4-A,14
CITY OF MT HEALTHY For Member of Council at Large,Denise J. Hayes,Election,4111 MTHY 1-A,111
CITY OF MT HEALTHY For Member of Council at Large,Denise J. Hayes,Election,4121 MTHY 2-A,140
CITY OF MT HEALTHY For Member of Council at Large,Denise J. Hayes,Election,4131 MTHY 3-A,124
CITY OF MT HEALTHY For Member of Council at Large,Denise J. Hayes,Election,4141 MTHY 4-A,107
CITY OF MT HEALTHY For Member of Council at Large,Denise J. Hayes,Early,4111 MTHY 1-A,37
CITY OF MT HEALTHY For Member of Council at Large,Denise J. Hayes,Early,4121 MTHY 2-A,10
CITY OF MT HEALTHY For Member of Council at Large,Denise J. Hayes,Early,4131 MTHY 3-A,14
CITY OF MT HEALTHY For Member of Council at Large,Denise J. Hayes,Early,4141 MTHY 4-A,15
CITY OF MT HEALTHY For Member of Council at Large,Paul Young III,Election,4111 MTHY 1-A,87
CITY OF MT HEALTHY For Member of Council at Large,Paul Young III,Election,4121 MTHY 2-A,119
CITY OF MT HEALTHY For Member of Council at Large,Paul Young III,Election,4131 MTHY 3-A,78
CITY OF MT HEALTHY For Member of Council at Large,Paul Young III,Election,4141 MTHY 4-A,72
CITY OF MT HEALTHY For Member of Council at Large,Paul Young III,Early,4111 MTHY 1-A,16
CITY OF MT HEALTHY For Member of Council at Large,Paul Young III,Early,4121 MTHY 2-A,5
CITY OF MT HEALTHY For Member of Council at Large,Paul Young III,Early,4131 MTHY 3-A,6
CITY OF MT HEALTHY For Member of Council at Large,Paul Young III,Early,4141 MTHY 4-A,4
CITY OF MT HEALTHY For Member of Council at Large,Dennis B. Custer,Election,4111 MTHY 1-A,61
CITY OF MT HEALTHY For Member of Council at Large,Dennis B. Custer,Election,4121 MTHY 2-A,86
CITY OF MT HEALTHY For Member of Council at Large,Dennis B. Custer,Election,4131 MTHY 3-A,71
CITY OF MT HEALTHY For Member of Council at Large,Dennis B. Custer,Election,4141 MTHY 4-A,58
CITY OF MT HEALTHY For Member of Council at Large,Dennis B. Custer,Early,4111 MTHY 1-A,13
CITY OF MT HEALTHY For Member of Council at Large,Dennis B. Custer,Early,4121 MTHY 2-A,5
CITY OF MT HEALTHY For Member of Council at Large,Dennis B. Custer,Early,4131 MTHY 3-A,5
CITY OF MT HEALTHY For Member of Council at Large,Dennis B. Custer,Early,4141 MTHY 4-A,2
CITY OF NORWOOD For President of Council,Joseph S. Geers,Election,4411 NORW 1-A,93
CITY OF NORWOOD For President of Council,Joseph S. Geers,Election,4412 NORW 1-B,109
CITY OF NORWOOD For President of Council,Joseph S. Geers,Election,4413 NORW 1-C,163
CITY OF NORWOOD For President of Council,Joseph S. Geers,Election,4421 NORW 2-A,210
CITY OF NORWOOD For President of Council,Joseph S. Geers,Election,4422 NORW 2-B,186
CITY OF NORWOOD For President of Council,Joseph S. Geers,Election,4423 NORW 2-C,166
CITY OF NORWOOD For President of Council,Joseph S. Geers,Election,4431 NORW 3-A,147
CITY OF NORWOOD For President of Council,Joseph S. Geers,Election,4432 NORW 3-B,104
CITY OF NORWOOD For President of Council,Joseph S. Geers,Election,4433 NORW 3-C,215
CITY OF NORWOOD For President of Council,Joseph S. Geers,Election,4441 NORW 4-A,116
CITY OF NORWOOD For President of Council,Joseph S. Geers,Election,4442 NORW 4-B,132
CITY OF NORWOOD For President of Council,Joseph S. Geers,Election,4443 NORW 4-C,151
CITY OF NORWOOD For President of Council,Joseph S. Geers,Early,4411 NORW 1-A,28
CITY OF NORWOOD For President of Council,Joseph S. Geers,Early,4412 NORW 1-B,67
CITY OF NORWOOD For President of Council,Joseph S. Geers,Early,4413 NORW 1-C,40
CITY OF NORWOOD For President of Council,Joseph S. Geers,Early,4421 NORW 2-A,79
CITY OF NORWOOD For President of Council,Joseph S. Geers,Early,4422 NORW 2-B,73
CITY OF NORWOOD For President of Council,Joseph S. Geers,Early,4423 NORW 2-C,51
CITY OF NORWOOD For President of Council,Joseph S. Geers,Early,4431 NORW 3-A,48
CITY OF NORWOOD For President of Council,Joseph S. Geers,Early,4432 NORW 3-B,62
CITY OF NORWOOD For President of Council,Joseph S. Geers,Early,4433 NORW 3-C,80
CITY OF NORWOOD For President of Council,Joseph S. Geers,Early,4441 NORW 4-A,42
CITY OF NORWOOD For President of Council,Joseph S. Geers,Early,4442 NORW 4-B,54
CITY OF NORWOOD For President of Council,Joseph S. Geers,Early,4443 NORW 4-C,56
CITY OF NORWOOD For Treasurer,James Bonsall,Election,4411 NORW 1-A,90
CITY OF NORWOOD For Treasurer,James Bonsall,Election,4412 NORW 1-B,105
CITY OF NORWOOD For Treasurer,James Bonsall,Election,4413 NORW 1-C,160
CITY OF NORWOOD For Treasurer,James Bonsall,Election,4421 NORW 2-A,211
CITY OF NORWOOD For Treasurer,James Bonsall,Election,4422 NORW 2-B,191
CITY OF NORWOOD For Treasurer,James Bonsall,Election,4423 NORW 2-C,161
CITY OF NORWOOD For Treasurer,James Bonsall,Election,4431 NORW 3-A,150
CITY OF NORWOOD For Treasurer,James Bonsall,Election,4432 NORW 3-B,101
CITY OF NORWOOD For Treasurer,James Bonsall,Election,4433 NORW 3-C,210
CITY OF NORWOOD For Treasurer,James Bonsall,Election,4441 NORW 4-A,109
CITY OF NORWOOD For Treasurer,James Bonsall,Election,4442 NORW 4-B,119
CITY OF NORWOOD For Treasurer,James Bonsall,Election,4443 NORW 4-C,147
CITY OF NORWOOD For Treasurer,James Bonsall,Early,4411 NORW 1-A,28
CITY OF NORWOOD For Treasurer,James Bonsall,Early,4412 NORW 1-B,64
CITY OF NORWOOD For Treasurer,James Bonsall,Early,4413 NORW 1-C,37
CITY OF NORWOOD For Treasurer,James Bonsall,Early,4421 NORW 2-A,73
CITY OF NORWOOD For Treasurer,James Bonsall,Early,4422 NORW 2-B,70
CITY OF NORWOOD For Treasurer,James Bonsall,Early,4423 NORW 2-C,52
CITY OF NORWOOD For Treasurer,James Bonsall,Early,4431 NORW 3-A,45
CITY OF NORWOOD For Treasurer,James Bonsall,Early,4432 NORW 3-B,60
CITY OF NORWOOD For Treasurer,James Bonsall,Early,4433 NORW 3-C,80
CITY OF NORWOOD For Treasurer,James Bonsall,Early,4441 NORW 4-A,43
CITY OF NORWOOD For Treasurer,James Bonsall,Early,4442 NORW 4-B,56
CITY OF NORWOOD For Treasurer,James Bonsall,Early,4443 NORW 4-C,53
CITY OF NORWOOD For Member of Council at Large,Emily K. L. Franzen,Election,4411 NORW 1-A,83
CITY OF NORWOOD For Member of Council at Large,Emily K. L. Franzen,Election,4412 NORW 1-B,85
CITY OF NORWOOD For Member of Council at Large,Emily K. L. Franzen,Election,4413 NORW 1-C,144
CITY OF NORWOOD For Member of Council at Large,Emily K. L. Franzen,Election,4421 NORW 2-A,168
CITY OF NORWOOD For Member of Council at Large,Emily K. L. Franzen,Election,4422 NORW 2-B,159
CITY OF NORWOOD For Member of Council at Large,Emily K. L. Franzen,Election,4423 NORW 2-C,147
CITY OF NORWOOD For Member of Council at Large,Emily K. L. Franzen,Election,4431 NORW 3-A,121
CITY OF NORWOOD For Member of Council at Large,Emily K. L. Franzen,Election,4432 NORW 3-B,76
CITY OF NORWOOD For Member of Council at Large,Emily K. L. Franzen,Election,4433 NORW 3-C,171
CITY OF NORWOOD For Member of Council at Large,Emily K. L. Franzen,Election,4441 NORW 4-A,90
CITY OF NORWOOD For Member of Council at Large,Emily K. L. Franzen,Election,4442 NORW 4-B,97
CITY OF NORWOOD For Member of Council at Large,Emily K. L. Franzen,Election,4443 NORW 4-C,119
CITY OF NORWOOD For Member of Council at Large,Emily K. L. Franzen,Early,4411 NORW 1-A,25
CITY OF NORWOOD For Member of Council at Large,Emily K. L. Franzen,Early,4412 NORW 1-B,58
CITY OF NORWOOD For Member of Council at Large,Emily K. L. Franzen,Early,4413 NORW 1-C,31
CITY OF NORWOOD For Member of Council at Large,Emily K. L. Franzen,Early,4421 NORW 2-A,71
CITY OF NORWOOD For Member of Council at Large,Emily K. L. Franzen,Early,4422 NORW 2-B,65
CITY OF NORWOOD For Member of Council at Large,Emily K. L. Franzen,Early,4423 NORW 2-C,51
CITY OF NORWOOD For Member of Council at Large,Emily K. L. Franzen,Early,4431 NORW 3-A,39
CITY OF NORWOOD For Member of Council at Large,Emily K. L. Franzen,Early,4432 NORW 3-B,59
CITY OF NORWOOD For Member of Council at Large,Emily K. L. Franzen,Early,4433 NORW 3-C,64
CITY OF NORWOOD For Member of Council at Large,Emily K. L. Franzen,Early,4441 NORW 4-A,37
CITY OF NORWOOD For Member of Council at Large,Emily K. L. Franzen,Early,4442 NORW 4-B,51
CITY OF NORWOOD For Member of Council at Large,Emily K. L. Franzen,Early,4443 NORW 4-C,38
CITY OF NORWOOD For Member of Council at Large,Susan Hoover,Election,4411 NORW 1-A,78
CITY OF NORWOOD For Member of Council at Large,Susan Hoover,Election,4412 NORW 1-B,84
CITY OF NORWOOD For Member of Council at Large,Susan Hoover,Election,4413 NORW 1-C,131
CITY OF NORWOOD For Member of Council at Large,Susan Hoover,Election,4421 NORW 2-A,162
CITY OF NORWOOD For Member of Council at Large,Susan Hoover,Election,4422 NORW 2-B,158
CITY OF NORWOOD For Member of Council at Large,Susan Hoover,Election,4423 NORW 2-C,140
CITY OF NORWOOD For Member of Council at Large,Susan Hoover,Election,4431 NORW 3-A,114
CITY OF NORWOOD For Member of Council at Large,Susan Hoover,Election,4432 NORW 3-B,77
CITY OF NORWOOD For Member of Council at Large,Susan Hoover,Election,4433 NORW 3-C,156
CITY OF NORWOOD For Member of Council at Large,Susan Hoover,Election,4441 NORW 4-A,93
CITY OF NORWOOD For Member of Council at Large,Susan Hoover,Election,4442 NORW 4-B,96
CITY OF NORWOOD For Member of Council at Large,Susan Hoover,Election,4443 NORW 4-C,119
CITY OF NORWOOD For Member of Council at Large,Susan Hoover,Early,4411 NORW 1-A,24
CITY OF NORWOOD For Member of Council at Large,Susan Hoover,Early,4412 NORW 1-B,50
CITY OF NORWOOD For Member of Council at Large,Susan Hoover,Early,4413 NORW 1-C,31
CITY OF NORWOOD For Member of Council at Large,Susan Hoover,Early,4421 NORW 2-A,60
CITY OF NORWOOD For Member of Council at Large,Susan Hoover,Early,4422 NORW 2-B,58
CITY OF NORWOOD For Member of Council at Large,Susan Hoover,Early,4423 NORW 2-C,42
CITY OF NORWOOD For Member of Council at Large,Susan Hoover,Early,4431 NORW 3-A,35
CITY OF NORWOOD For Member of Council at Large,Susan Hoover,Early,4432 NORW 3-B,50
CITY OF NORWOOD For Member of Council at Large,Susan Hoover,Early,4433 NORW 3-C,65
CITY OF NORWOOD For Member of Council at Large,Susan Hoover,Early,4441 NORW 4-A,36
CITY OF NORWOOD For Member of Council at Large,Susan Hoover,Early,4442 NORW 4-B,43
CITY OF NORWOOD For Member of Council at Large,Susan Hoover,Early,4443 NORW 4-C,42
CITY OF NORWOOD For Member of Council at Large,Jason Provins,Election,4411 NORW 1-A,70
CITY OF NORWOOD For Member of Council at Large,Jason Provins,Election,4412 NORW 1-B,84
CITY OF NORWOOD For Member of Council at Large,Jason Provins,Election,4413 NORW 1-C,122
CITY OF NORWOOD For Member of Council at Large,Jason Provins,Election,4421 NORW 2-A,162
CITY OF NORWOOD For Member of Council at Large,Jason Provins,Election,4422 NORW 2-B,143
CITY OF NORWOOD For Member of Council at Large,Jason Provins,Election,4423 NORW 2-C,136
CITY OF NORWOOD For Member of Council at Large,Jason Provins,Election,4431 NORW 3-A,119
CITY OF NORWOOD For Member of Council at Large,Jason Provins,Election,4432 NORW 3-B,71
CITY OF NORWOOD For Member of Council at Large,Jason Provins,Election,4433 NORW 3-C,154
CITY OF NORWOOD For Member of Council at Large,Jason Provins,Election,4441 NORW 4-A,89
CITY OF NORWOOD For Member of Council at Large,Jason Provins,Election,4442 NORW 4-B,89
CITY OF NORWOOD For Member of Council at Large,Jason Provins,Election,4443 NORW 4-C,106
CITY OF NORWOOD For Member of Council at Large,Jason Provins,Early,4411 NORW 1-A,21
CITY OF NORWOOD For Member of Council at Large,Jason Provins,Early,4412 NORW 1-B,50
CITY OF NORWOOD For Member of Council at Large,Jason Provins,Early,4413 NORW 1-C,31
CITY OF NORWOOD For Member of Council at Large,Jason Provins,Early,4421 NORW 2-A,59
CITY OF NORWOOD For Member of Council at Large,Jason Provins,Early,4422 NORW 2-B,56
CITY OF NORWOOD For Member of Council at Large,Jason Provins,Early,4423 NORW 2-C,43
CITY OF NORWOOD For Member of Council at Large,Jason Provins,Early,4431 NORW 3-A,40
CITY OF NORWOOD For Member of Council at Large,Jason Provins,Early,4432 NORW 3-B,52
CITY OF NORWOOD For Member of Council at Large,Jason Provins,Early,4433 NORW 3-C,58
CITY OF NORWOOD For Member of Council at Large,Jason Provins,Early,4441 NORW 4-A,35
CITY OF NORWOOD For Member of Council at Large,Jason Provins,Early,4442 NORW 4-B,43
CITY OF NORWOOD For Member of Council at Large,Jason Provins,Early,4443 NORW 4-C,39
CITY OF NORWOOD For Member of Council at Large,Jon Atwood,Election,4411 NORW 1-A,41
CITY OF NORWOOD For Member of Council at Large,Jon Atwood,Election,4412 NORW 1-B,74
CITY OF NORWOOD For Member of Council at Large,Jon Atwood,Election,4413 NORW 1-C,62
CITY OF NORWOOD For Member of Council at Large,Jon Atwood,Election,4421 NORW 2-A,111
CITY OF NORWOOD For Member of Council at Large,Jon Atwood,Election,4422 NORW 2-B,82
CITY OF NORWOOD For Member of Council at Large,Jon Atwood,Election,4423 NORW 2-C,78
CITY OF NORWOOD For Member of Council at Large,Jon Atwood,Election,4431 NORW 3-A,71
CITY OF NORWOOD For Member of Council at Large,Jon Atwood,Election,4432 NORW 3-B,72
CITY OF NORWOOD For Member of Council at Large,Jon Atwood,Election,4433 NORW 3-C,147
CITY OF NORWOOD For Member of Council at Large,Jon Atwood,Election,4441 NORW 4-A,40
CITY OF NORWOOD For Member of Council at Large,Jon Atwood,Election,4442 NORW 4-B,69
