"","VoterIdent","PrecinctNum","PrecinctSplit","PrecinctName","2025 General Election","2025 Primary Election","2024 General Election","2024 Primary Election","2023 General Election","2023 August Election","PRIMARY_MAY_2023","GENERAL_NOV_2022","AUG PRIMARY ELECTION 2022","PRIMARY_MAY_2022","GENERAL_NOV_2021","PRIMARY_MAY_2021"
"45","001989899",101,0,"CINCINNATI 1-A",NA,NA,"E-U",NA,"E-U","E-U",NA,"E-U","A-D",NA,NA,NA
"46","001745540",101,0,"CINCINNATI 1-A",NA,NA,"A-U",NA,"A-U","A-U",NA,"A-U",NA,NA,NA,NA
"47","001528474",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,"P-U"
"48","001539473",101,0,"CINCINNATI 1-A",NA,NA,"E-U",NA,"P-U",NA,NA,"E-U",NA,NA,"P-U",NA
"49","001537662",101,0,"CINCINNATI 1-A",NA,NA,"E-U",NA,"P-U",NA,NA,"E-U",NA,NA,NA,NA
"50","240086108",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","001957672",101,0,"CINCINNATI 1-A",NA,NA,"E-U","E-R","E-U","P-U",NA,"E-U",NA,"E-U","E-U",NA
"52","000055572",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,"A-U",NA,NA,NA,NA
"53","001899074",101,0,"CINCINNATI 1-A",NA,NA,"A-U",NA,"P-U",NA,NA,"P-U",NA,NA,NA,NA
"54","001709848",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","250018503",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","001315478",101,0,"CINCINNATI 1-A",NA,"P-U","P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,"P-U","P-U"
"57","002030846",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","001506983",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","001504761",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","001841534",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U","P-D","P-U","P-U",NA
"61","001842914",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,"P-U",NA
"62","250011813",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","250011825",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","002069006",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,"P-U",NA,"P-U",NA,NA,NA,NA
"65","002064882",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","001545167",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,NA,NA
"67","250024923",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","001540334",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,NA,NA
"69","001832067",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,"P-U","P-U",NA,"P-U","P-D","P-U",NA,NA
"70","000800937",101,0,"CINCINNATI 1-A",NA,NA,"P-U","P-R","P-U","P-U",NA,"P-U",NA,"P-U","P-U",NA
"71","001866124",101,0,"CINCINNATI 1-A",NA,NA,"E-U",NA,"P-U","P-U",NA,"P-U","P-R","P-U","P-U","P-U"
"72","002092306",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","001529433",101,0,"CINCINNATI 1-A",NA,NA,"P-U","P-R","P-U","P-U",NA,"P-U",NA,"P-U","P-U","P-U"
"74","230015556",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","250025575",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","240003602",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","001815743",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","002096562",101,0,"CINCINNATI 1-A",NA,"P-U","E-U","P-D","P-U","E-U",NA,"A-U","E-D","P-U",NA,NA
"79","001830454",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","001797273",101,0,"CINCINNATI 1-A",NA,NA,"E-U",NA,"P-U","P-U",NA,"P-U",NA,NA,"P-U","P-U"
"81","001769993",101,0,"CINCINNATI 1-A",NA,NA,"E-U",NA,"P-U","E-U",NA,"P-U",NA,"P-U","P-U","P-U"
"82","001305478",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","002052092",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","000985992",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U",NA,NA,"P-U",NA,NA,NA,NA
"85","002089981",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","230040089",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U",NA,NA,NA,NA,NA,NA,NA
"87","000527144",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U","A-U",NA,"P-U","P-D",NA,"P-U","P-U"
"88","001735937",101,0,"CINCINNATI 1-A",NA,NA,"A-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","001733543",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,"P-U",NA
"90","001929176",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","001920385",101,0,"CINCINNATI 1-A",NA,NA,"E-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","000578342",101,0,"CINCINNATI 1-A",NA,NA,"A-U","P-R","A-U","P-U",NA,"A-U","P-R","P-U","P-U","P-U"
"93","001248326",101,0,"CINCINNATI 1-A",NA,"P-U","P-U","P-R","P-U","P-U",NA,"P-U","P-R","P-U","P-U","P-U"
"94","001914578",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","001840217",101,0,"CINCINNATI 1-A",NA,"P-U","E-U","P-D","P-U","E-U",NA,"E-U","P-D","P-U","P-U",NA
"96","001890902",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","000237370",101,0,"CINCINNATI 1-A",NA,NA,"A-U",NA,"P-U","P-U",NA,"A-U",NA,NA,"P-U","P-U"
"98","000122566",101,0,"CINCINNATI 1-A",NA,NA,"A-U",NA,"P-U","P-U",NA,"A-U",NA,NA,"P-U","P-U"
"99","002080555",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","001044304",101,0,"CINCINNATI 1-A",NA,"P-U","P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,"P-U","P-U"
"101","000970127",101,0,"CINCINNATI 1-A",NA,"P-U","P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,"P-U","P-U"
"102","002080782",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","002057761",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","002075686",101,0,"CINCINNATI 1-A",NA,"A-U","E-U","P-R","P-U","P-U",NA,"A-U",NA,NA,NA,NA
"105","002075685",101,0,"CINCINNATI 1-A",NA,NA,"A-U",NA,"P-U",NA,NA,"A-U",NA,NA,NA,NA
"106","000117973",101,0,"CINCINNATI 1-A",NA,NA,"A-U",NA,"P-U",NA,NA,"P-U",NA,"P-U",NA,NA
"107","001969121",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","000921901",101,0,"CINCINNATI 1-A",NA,NA,"A-U",NA,"P-U","P-U",NA,"P-U","P-D","P-U","P-U","P-U"
"109","002085156",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","002121438",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","001764928",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U",NA,NA,NA,NA,NA,NA,NA
"112","001827514",101,0,"CINCINNATI 1-A",NA,NA,"P-U","P-R","P-U",NA,NA,"P-U",NA,NA,NA,NA
"113","001877658",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","002057769",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","002057770",101,0,"CINCINNATI 1-A",NA,NA,"E-U",NA,NA,NA,NA,"P-U",NA,NA,NA,NA
"116","002030675",101,0,"CINCINNATI 1-A",NA,NA,"E-U",NA,"P-U","P-U",NA,"P-U",NA,NA,NA,NA
"117","002102118",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U",NA,NA,"P-U",NA,NA,NA,NA
"118","230011653",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U",NA,NA,NA,NA,NA,NA,NA
"119","002108169",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"E-U",NA,NA,"P-U",NA,NA,NA,NA
"120","002005383",101,0,"CINCINNATI 1-A",NA,NA,"A-U",NA,NA,NA,NA,"A-U",NA,NA,NA,NA
"121","240066812",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","001087319",101,0,"CINCINNATI 1-A",NA,"P-U","P-U","P-R","P-U","E-U",NA,"P-U",NA,"P-U","P-U",NA
"123","000065591",101,0,"CINCINNATI 1-A",NA,"P-U","P-U","P-R","P-U","E-U",NA,"P-U",NA,"P-U","P-U","P-U"
"124","001743017",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,"P-U",NA,"P-U"
"125","001849677",101,0,"CINCINNATI 1-A",NA,NA,"A-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","250008955",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","002083965",101,0,"CINCINNATI 1-A",NA,NA,"E-U","P-R","P-U","E-U",NA,"P-U",NA,"P-U","P-U",NA
"128","002090991",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,"A-U",NA,NA,NA,NA
"129","002026615",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","001098325",101,0,"CINCINNATI 1-A",NA,"P-U","P-U","P-R","P-U","P-U",NA,"P-U","P-R","P-U","P-U","P-U"
"131","001939671",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","001996071",101,0,"CINCINNATI 1-A",NA,NA,"A-U","P-D","P-U","P-U",NA,"P-U",NA,NA,NA,NA
"133","240060024",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","001745144",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,"P-U","P-U",NA,"P-U",NA,"P-U","P-U","P-U"
"135","001946567",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,NA,NA
"136","001950700",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,NA,NA
"137","240100363",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","001940412",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","001854642",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U",NA,NA,"P-U",NA,NA,NA,NA
"140","001671053",101,0,"CINCINNATI 1-A",NA,NA,"P-U","P-R","P-U","P-U",NA,"P-U",NA,NA,"P-U",NA
"141","000610335",101,0,"CINCINNATI 1-A",NA,NA,"P-U","P-R","P-U","P-U",NA,"P-U",NA,"P-U","P-U","P-U"
"142","250010869",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","240083090",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","240036416",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","240029117",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","240060655",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","002050373",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,"P-U",NA,"P-U",NA,NA
"148","002045212",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,"P-U",NA,NA,NA,NA
"149","001305401",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U","P-U",NA,NA,NA,NA,NA,NA
"150","001818709",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","000247820",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","002044556",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","000250511",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","001036523",101,0,"CINCINNATI 1-A",NA,NA,"A-U",NA,"P-U",NA,NA,"A-U",NA,NA,NA,NA
"155","002073436",101,0,"CINCINNATI 1-A",NA,NA,"A-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","001991951",101,0,"CINCINNATI 1-A",NA,"P-U","P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,NA,NA
"157","000915613",101,0,"CINCINNATI 1-A",NA,NA,"E-U","P-R","P-U",NA,NA,"P-U",NA,"P-U",NA,NA
"158","250026251",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","001819454",101,0,"CINCINNATI 1-A",NA,"P-U","E-U",NA,"E-U","P-U",NA,"E-U",NA,NA,"P-U",NA
"160","001827381",101,0,"CINCINNATI 1-A",NA,NA,"E-U",NA,"E-U","P-U",NA,"E-U",NA,NA,"P-U",NA
"161","001891176",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","001955330",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U",NA,NA,NA,NA,NA,NA,NA
"163","002035032",101,0,"CINCINNATI 1-A",NA,NA,"E-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","002066220",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,NA,NA
"165","001896614",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","001307945",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","002056653",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","240000637",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","001579024",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","001617052",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U",NA,NA,NA,NA,NA,NA,NA
"171","002047102",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,NA,NA
"172","002090377",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U",NA,NA,"P-U",NA,NA,NA,NA
"173","001959886",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","000725543",101,0,"CINCINNATI 1-A",NA,"P-U","P-U","P-R","P-U","P-U",NA,"P-U","P-R","P-U","P-U","P-U"
"175","001835428",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","001009968",101,0,"CINCINNATI 1-A",NA,"P-U","P-U","P-R","E-U","P-U",NA,"P-U","P-R","P-U","P-U",NA
"177","001009967",101,0,"CINCINNATI 1-A",NA,"P-U","P-U","P-R","E-U","P-U",NA,"P-U","P-R","P-U","P-U","P-U"
"178","001542107",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,NA,NA
"179","002030884",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,"E-U",NA,NA,NA,"P-U"
"180","002026296",101,0,"CINCINNATI 1-A",NA,NA,"A-U",NA,NA,NA,NA,"E-U",NA,NA,NA,NA
"181","001985824",101,0,"CINCINNATI 1-A",NA,NA,"A-U",NA,NA,NA,NA,"P-U",NA,NA,"P-U","P-U"
"182","002106466",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U",NA,NA,"P-U",NA,NA,NA,NA
"183","000971549",101,0,"CINCINNATI 1-A",NA,NA,"E-U",NA,"P-U","P-U",NA,"P-U",NA,"P-U","P-U","P-U"
"184","001158848",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,"P-U","P-U","P-U"
"185","001745882",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,NA,NA
"186","002091609",101,0,"CINCINNATI 1-A",NA,NA,"P-U","P-R","P-U",NA,NA,"P-U",NA,NA,NA,NA
"187","001463623",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U",NA,NA,"P-U",NA,NA,NA,NA
"188","000959732",101,0,"CINCINNATI 1-A",NA,"P-U","P-U","P-D","P-U","P-U",NA,"P-U",NA,NA,"P-U","P-U"
"189","000868808",101,0,"CINCINNATI 1-A",NA,"P-U","P-U","P-D","P-U","P-U",NA,"P-U",NA,NA,"P-U","P-U"
"190","001415927",101,0,"CINCINNATI 1-A",NA,NA,"A-U","A-R","A-U",NA,NA,NA,"P-R","P-U","P-U",NA
"191","001554490",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U",NA,NA,"P-U",NA,NA,NA,NA
"192","000989381",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","001571407",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","002069065",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","001614303",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","001990775",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","240088755",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","000107468",101,0,"CINCINNATI 1-A",NA,"P-U","P-U","P-R",NA,"P-U",NA,NA,NA,NA,"P-U","P-U"
"199","002057446",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","000917856",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U",NA,NA,NA,NA,NA,NA,NA
"201","001831401",101,0,"CINCINNATI 1-A",NA,NA,"P-U","P-R","P-U","P-U",NA,"A-U",NA,"P-U",NA,NA
"202","001180721",101,0,"CINCINNATI 1-A",NA,NA,"P-U","P-R","P-U","P-U",NA,"P-U",NA,"P-U","P-U","P-U"
"203","001303451",101,0,"CINCINNATI 1-A",NA,NA,"P-U","P-D","P-U","P-U",NA,"P-U","P-D","P-U","P-U","P-U"
"204","001361439",101,0,"CINCINNATI 1-A",NA,"P-U","P-U",NA,"P-U",NA,NA,"P-U",NA,NA,NA,NA
"205","001189108",101,0,"CINCINNATI 1-A",NA,"P-U","P-U",NA,"P-U","P-U",NA,"P-U","P-D",NA,NA,"P-U"
"206","001037544",101,0,"CINCINNATI 1-A",NA,NA,"A-U",NA,"P-U","P-U",NA,"A-U",NA,NA,"P-U","P-U"
"207","001072355",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,"A-U",NA,NA,NA,NA
"208","000135530",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U",NA,NA,"P-U",NA,NA,"P-U","P-U"
"209","230012790",101,0,"CINCINNATI 1-A",NA,NA,"E-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","002096232",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,"E-U",NA,NA,NA,NA,NA,NA,NA
