Council at Large (Vote For 9)
                                                            Jan-Michele Lemon Kearney                                                                 Scotty Johnson                                                                            Meeka D. Owens                                                                            Anna Albi                                                                                 Mark Jeffreys                                                                             Seth Walsh                                                                                Jeff Cramerding                                                                           Evan Nolan                                                                                Ryan James                                                                                Liz Keating                                                                               Christopher E. C. Smitherman                                                              Laketa Cole                                                                               Linda Matthews                                                                            Don Driehaus                                                                              Gary Favors                                                                               Steven P. Goodin                                                                          Dale Mallory                                                                              Dawn Johnson                                                                              Aaron Weiner                                                                              Raffel Prophett                                                                           Stephan Pryor                                                                             Jerry Corbett                                                                             Audricia Brooks                                                                           Donald Washington                                                                         Brandon Nixon                                                                             Kevin Farmer                                                                              Brian Ennix (W)                                                                           
Precinct                      Registered Voters             Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Total                         
0707 CIN 7-G                  1310                          205                           94                            299                           193                           102                           295                           194                           88                            282                           148                           68                            216                           142                           58                            200                           131                           55                            186                           120                           47                            167                           125                           49                            174                           152                           67                            219                           57                            25                            82                            80                            44                            124                           123                           67                            190                           14                            11                            25                            43                            19                            62                            13                            16                            29                            24                            16                            40                            58                            36                            94                            39                            26                            65                            17                            5                             22                            44                            25                            69                            40                            25                            65                            16                            2                             18                            23                            11                            34                            14                            17                            31                            16                            10                            26                            17                            12                            29                            0                             2                             2                             3045                          
0708 CIN 7-H                  1166                          184                           58                            242                           183                           65                            248                           178                           53                            231                           151                           39                            190                           156                           46                            202                           132                           33                            165                           126                           28                            154                           137                           36                            173                           140                           37                            177                           46                            21                            67                            51                            22                            73                            92                            29                            121                           18                            4                             22                            18                            7                             25                            13                            7                             20                            15                            2                             17                            38                            25                            63                            23                            10                            33                            6                             4                             10                            26                            17                            43                            34                            11                            45                            7                             3                             10                            15                            2                             17                            12                            6                             18                            19                            3                             22                            16                            5                             21                            1                             0                             1                             2410                          
0709 CIN 7-I                  1111                          200                           133                           333                           210                           127                           337                           199                           101                           300                           157                           80                            237                           156                           90                            246                           142                           74                            216                           129                           67                            196                           138                           71                            209                           142                           78                            220                           82                            41                            123                           72                            46                            118                           101                           63                            164                           21                            12                            33                            25                            14                            39                            21                            9                             30                            19                            9                             28                            51                            39                            90                            33                            21                            54                            7                             9                             16                            38                            34                            72                            34                            15                            49                            9                             6                             15                            17                            3                             20                            16                            2                             18                            18                            7                             25                            12                            5                             17                            0                             0                             0                             3205                          
0710 CIN 7-J                  548                           52                            52                            104                           55                            45                            100                           41                            39                            80                            38                            30                            68                            35                            29                            64                            35                            24                            59                            30                            14                            44                            33                            24                            57                            35                            25                            60                            14                            18                            32                            19                            12                            31                            32                            30                            62                            5                             3                             8                             8                             9                             17                            4                             4                             8                             6                             7                             13                            16                            15                            31                            5                             8                             13                            1                             6                             7                             18                            15                            33                            11                            4                             15                            3                             2                             5                             3                             3                             6                             7                             3                             10                            8                             5                             13                            6                             5                             11                            0                             0                             0                             951                           
0711 CIN 7-K                  1051                          195                           83                            278                           185                           85                            270                           184                           76                            260                           155                           46                            201                           159                           58                            217                           149                           39                            188                           136                           39                            175                           139                           41                            180                           143                           42                            185                           49                            31                            80                            54                            31                            85                            79                            51                            130                           12                            9                             21                            21                            20                            41                            10                            4                             14                            11                            10                            21                            52                            30                            82                            16                            17                            33                            9                             8                             17                            30                            33                            63                            28                            13                            41                            5                             1                             6                             10                            8                             18                            13                            7                             20                            10                            7                             17                            5                             4                             9                             0                             0                             0                             2652                          
0801 CIN 8-A                  1463                          195                           98                            293                           184                           89                            273                           190                           73                            263                           159                           60                            219                           164                           67                            231                           144                           54                            198                           131                           61                            192                           141                           59                            200                           161                           67                            228                           48                            24                            72                            40                            17                            57                            84                            41                            125                           17                            2                             19                            30                            15                            45                            17                            10                            27                            22                            6                             28                            46                            30                            76                            44                            17                            61                            13                            7                             20                            28                            19                            47                            41                            17                            58                            12                            5                             17                            18                            6                             24                            18                            7                             25                            12                            3                             15                            16                            7                             23                            0                             0                             0                             2836                          
0802 CIN 8-B                  1316                          254                           87                            341                           235                           81                            316                           237                           74                            311                           260                           80                            340                           244                           85                            329                           239                           71                            310                           239                           79                            318                           233                           69                            302                           217                           63                            280                           138                           53                            191                           74                            38                            112                           39                            14                            53                            58                            13                            71                            56                            23                            79                            58                            9                             67                            57                            23                            80                            19                            12                            31                            37                            15                            52                            38                            16                            54                            16                            6                             22                            13                            4                             17                            21                            6                             27                            24                            4                             28                            18                            4                             22                            17                            4                             21                            20                            4                             24                            0                             1                             1                             3799                          
0803 CIN 8-C                  1520                          249                           121                           370                           219                           112                           331                           203                           98                            301                           240                           110                           350                           248                           119                           367                           235                           109                           344                           230                           114                           344                           226                           111                           337                           186                           78                            264                           293                           153                           446                           164                           88                            252                           41                            15                            56                            137                           56                            193                           100                           43                            143                           127                           55                            182                           99                            52                            151                           33                            10                            43                            33                            12                            45                            53                            30                            83                            16                            6                             22                            13                            1                             14                            26                            10                            36                            17                            5                             22                            16                            6                             22                            22                            4                             26                            23                            7                             30                            0                             0                             0                             4774                          
0804 CIN 8-D                  1596                          275                           78                            353                           253                           62                            315                           267                           64                            331                           248                           67                            315                           245                           62                            307                           228                           56                            284                           222                           57                            279                           224                           59                            283                           233                           55                            288                           57                            23                            80                            34                            6                             40                            56                            22                            78                            16                            4                             20                            11                            4                             15                            17                            4                             21                            19                            6                             25                            35                            11                            46                            30                            6                             36                            8                             3                             11                            33                            16                            49                            27                            9                             36                            24                            1                             25                            23                            3                             26                            20                            4                             24                            11                            3                             14                            6                             1                             7                             1                             0                             1                             3309                          
0901 CIN 9-A                  839                           83                            34                            117                           75                            33                            108                           79                            29                            108                           78                            20                            98                            74                            21                            95                            67                            20                            87                            70                            20                            90                            68                            20                            88                            73                            21                            94                            22                            14                            36                            19                            9                             28                            24                            21                            45                            8                             2                             10                            7                             8                             15                            6                             0                             6                             6                             0                             6                             15                            15                            30                            11                            7                             18                            3                             1                             4                             12                            8                             20                            12                            12                            24                            3                             1                             4                             5                             4                             9                             2                             2                             4                             3                             3                             6                             2                             3                             5                             0                             0                             0                             1155                          
0902 CIN 9-B                  1369                          281                           106                           387                           242                           90                            332                           260                           88                            348                           260                           101                           361                           245                           95                            340                           244                           88                            332                           236                           93                            329                           234                           90                            324                           229                           69                            298                           159                           75                            234                           85                            37                            122                           68                            17                            85                            47                            19                            66                            50                            24                            74                            45                            22                            67                            51                            38                            89                            35                            14                            49                            39                            17                            56                            41                            21                            62                            39                            14                            53                            15                            5                             20                            30                            11                            41                            29                            7                             36                            19                            6                             25                            19                            4                             23                            15                            1                             16                            1                             0                             1                             4170                          
0903 CIN 9-C                  1708                          208                           65                            273                           186                           56                            242                           207                           68                            275                           187                           59                            246                           170                           55                            225                           169                           49                            218                           152                           46                            198                           157                           53                            210                           168                           50                            218                           68                            22                            90                            49                            22                            71                            88                            26                            114                           32                            17                            49                            28                            12                            40                            29                            9                             38                            28                            12                            40                            36                            15                            51                            39                            15                            54                            25                            8                             33                            24                            18                            42                            46                            17                            63                            17                            6                             23                            18                            8                             26                            17                            12                            29                            11                            5                             16                            8                             2                             10                            0                             0                             0                             2894                          
0904 CIN 9-D                  1126                          116                           54                            170                           109                           50                            159                           108                           51                            159                           91                            36                            127                           80                            35                            115                           76                            36                            112                           63                            28                            91                            69                            29                            98                            86                            34                            120                           31                            13                            44                            45                            21                            66                            66                            36                            102                           14                            5                             19                            13                            6                             19                            9                             6                             15                            9                             3                             12                            39                            28                            67                            23                            15                            38                            5                             4                             9                             24                            15                            39                            34                            8                             42                            5                             3                             8                             18                            4                             22                            8                             6                             14                            12                            11                            23                            12                            4                             16                            1                             0                             1                             1707                          
1001 CIN 10-A                 1361                          234                           51                            285                           221                           51                            272                           228                           45                            273                           231                           41                            272                           215                           47                            262                           223                           40                            263                           213                           38                            251                           220                           43                            263                           218                           40                            258                           164                           27                            191                           87                            19                            106                           64                            17                            81                            103                           9                             112                           33                            8                             41                            115                           9                             124                           39                            7                             46                            26                            11                            37                            20                            5                             25                            36                            4                             40                            23                            8                             31                            37                            11                            48                            20                            6                             26                            17                            2                             19                            20                            2                             22                            19                            1                             20                            20                            3                             23                            0                             0                             0                             3391                          
1002 CIN 10-B                 1547                          143                           34                            177                           127                           33                            160                           152                           28                            180                           146                           29                            175                           137                           24                            161                           120                           27                            147                           120                           21                            141                           114                           21                            135                           118                           20                            138                           65                            7                             72                            34                            4                             38                            71                            9                             80                            14                            3                             17                            29                            3                             32                            16                            3                             19                            22                            7                             29                            28                            4                             32                            26                            6                             32                            23                            3                             26                            28                            1                             29                            35                            5                             40                            16                            0                             16                            27                            2                             29                            19                            2                             21                            10                            1                             11                            8                             1                             9                             0                             0                             0                             1946                          
1003 CIN 10-C                 1333                          207                           50                            257                           183                           51                            234                           206                           50                            256                           207                           52                            259                           188                           51                            239                           175                           45                            220                           183                           45                            228                           173                           43                            216                           181                           42                            223                           82                            21                            103                           43                            16                            59                            72                            17                            89                            22                            10                            32                            44                            9                             53                            32                            9                             41                            37                            9                             46                            36                            7                             43                            47                            7                             54                            28                            8                             36                            29                            4                             33                            46                            8                             54                            25                            2                             27                            27                            1                             28                            27                            3                             30                            11                            2                             13                            12                            2                             14                            1                             0                             1                             2888                          
1101 CIN 11-A                 1144                          173                           34                            207                           156                           29                            185                           165                           34                            199                           166                           38                            204                           163                           33                            196                           149                           30                            179                           150                           39                            189                           149                           33                            182                           152                           27                            179                           77                            20                            97                            45                            18                            63                            45                            17                            62                            28                            12                            40                            39                            12                            51                            27                            8                             35                            45                            12                            57                            18                            7                             25                            32                            9                             41                            31                            10                            41                            22                            3                             25                            18                            1                             19                            29                            6                             35                            20                            4                             24                            21                            5                             26                            10                            2                             12                            10                            2                             12                            2                             0                             2                             2387                          
1102 CIN 11-B                 1310                          80                            26                            106                           73                            26                            99                            84                            22                            106                           83                            26                            109                           68                            24                            92                            69                            25                            94                            68                            22                            90                            65                            21                            86                            64                            20                            84                            26                            14                            40                            16                            6                             22                            26                            9                             35                            5                             4                             9                             9                             3                             12                            9                             3                             12                            7                             8                             15                            15                            1                             16                            21                            2                             23                            7                             1                             8                             16                            4                             20                            11                            7                             18                            5                             0                             5                             13                            3                             16                            7                             1                             8                             7                             1                             8                             6                             2                             8                             0                             0                             0                             1141                          
